wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Rigo Filippo - Ai Rabaj 2012 Duemiladodici  (Barbaresco),Rigo Filippo - Ai Rabaj,Red,Duemiladodici,Nebbiolo,"Barbaresco, Piedmont, Italy",,,85,Kerin O’Keefe,"Aromas of sawdust, coconut and espresso lead the way while the palate offers raw sour cherry and just a hint of cinnamon. However, this completely lacks fruit richness and has an abrupt finish."
Oriel 2004 Ortolan Falkenstein Grüner Veltliner (Weinviertel),Oriel,White,Ortolan Falkenstein,Grüner Veltliner,"Weinviertel, Austria",12.5%,$20,84,Joe Czerwinski,"Although this wine starts well, with scents of lime, stone fruit, gunmetal and mineral oil, it never really gets going on the palate, where the understated flavors of peach and pear end on a citrusy note. Imported by USA Wine Imports."
Monte del Frà 2009 Tenuta Lena di Mezzo  (Amarone della Valpolicella Classico),Monte del Frà,Red,Tenuta Lena di Mezzo,"Red Blends, Red Blends","Amarone della Valpolicella Classico, Veneto, Italy",15.5%,$52,92,Kerin O’Keefe,"Here's a delicious Amarone, with aromas of spirit-soaked black cherry and spice. The palate is rich but refined, with succulent black cherry, raspberry and plum flavors all layered with nutmeg and white pepper accents."
Montelle 2007 Dry Vignoles (Missouri),Montelle,White,Dry,"Vignoles, Other White","Missouri, Missouri, US",12%,$10,84,Susan Kostrzewa,"This Missouri Vignoles offers a nose of orange Muscat, pepper and warming spice, followed by slightly sweet flavors (despite its dry designation) of apricot, pineapple and citrus. Balanced acidity and a pleasant, round mouthfeel. The finish is substantial, with a spicy flair."
Wilridge 2011 Rosebud Vineyard Viognier (Yakima Valley),Wilridge,White,Rosebud Vineyard,Viognier,"Yakima Valley, Columbia Valley, Washington, US",13.5%,$16,89,Paul Gregutt,"Viognier is a clear success story for Wilridge. This is not a flashy wine, and it goes down easily. It's deeply concentrated, with a rich core of peach, apricot and lemon drop flavors."
Efeste 2012 Jolie Bouche Boushey Vineyard Syrah (Yakima Valley),Efeste,Red,Jolie Bouche Boushey Vineyard,,"Yakima Valley, Columbia Valley, Washington, US",15%,$44,94,Sean P. Sullivan,"This exuberant wine has aromas of raspberry jam, thyme, orange peel, earth, iron and olive. It's rich and intensely flavorful, with waves of mouthwatering fruit and savory notes that lead to an extended finish."
Paco Garcia 2008 Beautiful Things  (Rioja),Paco Garcia,Red,Beautiful Things,"Tempranillo Blend, Tempranillo","Rioja, Northern Spain, Spain",14%,$55,89,Michael Schachner,"Earthy, oaky, leathery berry and spice aromas come around nicely with airing. This is a plump Rioja with modern leanings; it has good structure and pretty raspberry and cassis flavors. A round finish hints at raisiny maturity but doesn't overdo the ripeness. Drink through 2015."
Shale Ridge Vineyard 2001 Estate Grown & Bottled Merlot (Monterey County),Shale Ridge Vineyard,Red,Estate Grown & Bottled,Merlot,"Monterey County, Central Coast, California, US",13.5%,$8,84,,"This is an easy-drinking and affordable Merlot of a kind flooding the market now. It has ripe flavors of blackberries and cherries and is dry, with good weight and some complexity. Finishes with a youthful bite of acid."
Shooting Star 2017 Pinot Noir (Lake County),Shooting Star,Red,,Pinot Noir,"Lake County, Lake County, California, US",13.8%,$15,86,Jim Gordon,"Tasting mature and mellow, this medium-bodied wine has a tinge of amber in the color and offers lean red-cherry and cider flavors."
Domaine Christophe Camu 2007 Beauroy Premier Cru  (Chablis),Domaine Christophe Camu,White,Beauroy Premier Cru,Chardonnay,"Chablis, Burgundy, France",12.5%,$40,90,Roger Voss,"Still young, closed and tight, this exhibits intense, crisp minerality. At this stage, the wine is all texture, with its green and white fruits suppressed. There is a vivid, vibrant character, which promises aging over the next 4–5 years. Imported by Cellar Door Selections."
Robert Hall 2001 Zinfandel (Paso Robles),Robert Hall,Red,,Zinfandel,"Paso Robles, Central Coast, California, US",14.7%,$24,85,,"Blackberry, sage and thyme flavors are at the core of this wine. It's a bit herbal, but well-balanced nonetheless, showing moderate length on the finish."
Markus Huber 2019 Ried Alte Setzen Grüner Veltliner (Traisental),Markus Huber,White,Ried Alte Setzen,Grüner Veltliner,"Traisental, Austria",14%,$35,94,Anne Krebiehl MW,"A streak of bright lemon zest accompanies the ripe, green conference pear note on the nose. The palate then adds slightly bitter but completely pleasant citrus pithiness that seems to evolve into yeasty, salty, savory pepperiness without ever leaving that lemon note behind. This is slender but intense and comes with a wonderfully savory finish."
Brezza 2012 Vigna Santa Rosalia  (Nebbiolo d'Alba),Brezza,Red,Vigna Santa Rosalia,Nebbiolo,"Nebbiolo d'Alba, Piedmont, Italy",13.5%,$32,90,Kerin O’Keefe,"Aromas suggest crushed blue flower, tilled soil, spice and perfumed berries. The savory palate delivers ripe black cherry and wild raspberry alongside notes of clove. Supple and smooth, it will offer easy drinking enjoyment now through 2016."
Les Vins Bréban 2015 Château Castel des Maures Cuvée Jeanne Rosé (Côtes de Provence),Les Vins Bréban,Rose,Château Castel des Maures Cuvée Jeanne,Rosé,"Côtes de Provence, Provence, France",12.5%,$15,87,Roger Voss,"From a small vineyard near the coast at Hyères, this wine has the freshest red-berry fruits and lively, bright acidity. Its freshness and lightness make it a fine apéritif style, delicious to drink immediately."
Domaine de la Côte de l'Ange 2018 Red (Châteauneuf-du-Pape),Domaine de la Côte de l'Ange,Red,,Rhône-style Red Blend,"Châteauneuf-du-Pape, Rhône Valley, France",15.5%,,93,Anna Lee C. Iijima,"Whiffs of tar and charred wood lend a smoky tone to plump black cherry and cassis flavors in this producer's “tradition” or standard-label bottling. A blend of 70% Grenache, 15% Syrah and 15% Mourvèdre vinified partially in foudre, it balances a richness of sunny black fruit against savory nuances of leather, earth and fur. Soft in tannins, it's welcoming young but should improve through 2028."
Peake Ranch 2015 Chardonnay (Santa Maria Valley),Peake Ranch,White,,Chardonnay,"Santa Maria Valley, Central Coast, California, US",14.3%,$40,89,Matt Kettmann,"The nose on this bottling is extremely subtle, with hints of stone fruit and citrus. The palate is extremely crisp and clean, with Asian pear, lime peel and hints of oak smoke. The focus is tightly wound texture more than overt flavors."
Rafael Cambra 2013 El Bon Homme Red (Valencia),Rafael Cambra,Red,El Bon Homme,Bordeaux-style Red Blend,"Valencia, Levante, Spain",13.5%,$20,87,Michael Schachner,"Scratchy cherry and raspberry aromas are lightly herbal. This 50-50 blend of Cabernet Franc and Cab Sauvignon is tightly wound, with punchy acidity. Herbal raspberry and red-plum flavors finish dry and lightly oaked, with rawness and herbal notes."
Carmelo Patti 2005 Malbec (Mendoza),Carmelo Patti,Red,,Malbec,"Mendoza, Mendoza Province, Argentina",13.5%,$30,87,Michael Schachner,"Jammy strawberry aromas are alluring but light, which suggests more of an Old World style compared to most of the beefy, brawny Malbecs out there today. The palate is crisp and agile, with light-framed raspberry flavors. More elegant than hefty, but also a little hollow on the midpalate and finish."
E. Guigal 2013 Red (Côtes du Rhône),E. Guigal,Red,,Rhône-style Red Blend,"Côtes du Rhône, Rhône Valley, France",14%,$19,89,Anna Lee C. Iijima,"In this wine, almost equal proportions of Grenache and Syrah yield a steady balance between plush, easy black fruit and darker notes of peppery herb and granite. Fleshy and full bodied yet bright with acidity, it's an appealing wine marked by delicate touches of dark chocolate, bramble and sweet spice."
Talbott 2005 Kali Hart Vineyard Pinot Noir (Monterey County),Talbott,Red,Kali Hart Vineyard,Pinot Noir,"Monterey County, Central Coast, California, US",14.5%,$20,83,,"Smells distinctly Porty, with caramelized fruit scents, and tastes sharp and minty, with wintergreen and bitter cherryskin flavors. The finish is dry."
Domaine Saint Laurent 2017 White (Châteauneuf-du-Pape),Domaine Saint Laurent,White,,Rhône-style White Blend,"Châteauneuf-du-Pape, Rhône Valley, France",14%,,91,Anna Lee C. Iijima,"Crisp white pear and grapefruit tones dazzle from nose to finish in this pert, pristine blend of Grenache Blanc, Clairette, Bourboulenc and Roussanne. Despite being vinified and aged in 50% new French oak, it's a remarkably zippy sip marked by delicate traces of hazelnut and spice on the finish. Lovely now but should hold through 2025."
Le Bonheur 2004 Chardonnay (Stellenbosch),Le Bonheur,White,,Chardonnay,"Stellenbosch, South Africa",13%,$13,84,Susan Kostrzewa,"Fresh, while maintaining a spicy, oaky character, this is an everyday sip that will pair well with creamy, opulent dishes and fresh seafood. On the palate, it's round and subtle with good spice but has a nice lively feel."
Marqués de la Concordia 2014 Federico Paternina Reserva  (Rioja),Marqués de la Concordia,Red,Federico Paternina Reserva,Tempranillo,"Rioja, Northern Spain, Spain",13.5%,$19,89,Michael Schachner,"Up-front aromas of cedary oak, vanilla and spice provide framing for riper berry scents. A full palate with piping acidity is cut by creamy oak, while this tastes of red plum, currant, tobacco, savory spices and vanilla. Although a bit ripe and soupy in structure, this is a classic-style Rioja to drink now."
Erste Neue 2017 Puntay Pinot Bianco (Alto Adige),Erste Neue,White,Puntay,"Pinot Bianco, Pinot Blanc","Alto Adige, Northeastern Italy, Italy",14%,$30,88,Kerin O’Keefe,"This has a shy nose that eventually reveals subdued aromas of mature orchard fruit. The palate is also rather subdued but polished, offering ripe apple and creamy pear alongside a hint of hazelnut."
Seabold Cellars 2018 Rodnick Farm Old Vines Pinot Blanc (Chalone),Seabold Cellars,White,Rodnick Farm Old Vines,Pinot Blanc,"Chalone, Central Coast, California, US",13.1%,$45,93,Matt Kettmann,"It's always a joy to taste the old vines of Chalone, and this bottling captures their unique qualities, starting with aromas of apple syrup, hazelnut and toasted pecan. The palate offers almond, Meyer lemon and a creamy oak flavor that lingers on the tongue for a long time—all very unique elements."
Buck Shack 2017 Small Batch Sustainably Farmed Cabernet Sauvignon (Lake County),Buck Shack,Red,Small Batch Sustainably Farmed,Cabernet Sauvignon,"Lake County, Lake County, California, US",14.9%,$35,91,Jim Gordon,"This full-bodied wine has plenty of dark berry and cherry notes, a touch of black olive and a big structure of firm, fine-grained tannins. Deft oak accents spice up the palate and linger on the finish. Best through 2025."
Herdade da Calada 2000 Baron de B Reserva Red (Alentejo),Herdade da Calada,Red,Baron de B Reserva,"Red Blends, Red Blends","Alentejo, Portugal",13.5%,$25,85,Joe Czerwinski,"This attempt at a modern, heavily extracted red packs in plenty of bulky blackberry and oak flavors but not much finesse. It's simply a satisfying mouthful of fruit and wood."
Harris 2003 Jake's Creek Vineyard Cabernet Sauvignon (Napa Valley),Harris,Red,Jake's Creek Vineyard,Cabernet Sauvignon,"Napa Valley, Napa, California, US",15.1%,$75,93,,"I preferred this to Harris's more expensive Treva's Cab because it's not as tannic, offering more immediate pleasure in an opulent, classy way. Soft and charming, yet with an intense structure, the wine is beautiful in blackberry, cherry, anise, green olive and vanilla oak flavors that finish complex and dry. Best now through 2010 for its lush fruit."
Chalone Vineyard 2005 Pinot Noir (Monterey County),Chalone Vineyard,Red,,Pinot Noir,"Monterey County, Central Coast, California, US",13.9%,$14,84,,"Everyday Pinot, a one-dimensional wine with pleasant cherry, raspberry and cocoa flavors finished with a touch of smoky oak. At this price, it's a good buy for consumers who are curious about Pinot, but don't want to drop a bundle."
Giacomo Ascheri 2001 Sorano Coste & Bricco  (Barolo),Giacomo Ascheri,Red,Sorano Coste & Bricco,Nebbiolo,"Barolo, Piedmont, Italy",14%,$60,89,,"Be careful when you look for thense wines, the labels at Aschieri are a little confusing;  a small white strip label at thumb level distinguishes the Sorano ordinaire from the special Costa Bricco. The wine, itself, is thick and quite poerful, with very ripe dark fruit, roses and earth flavors. It is beginning to show its age, and did not seem quite as fresh as the Sorano, but it proved to be more intense and extracted."
Duckhorn 2003 Merlot (Howell Mountain),Duckhorn,Red,,Merlot,"Howell Mountain, Napa, California, US",14.5%,$70,94,,"Those notorious mountain tannins have largely melted, making the wine drinkable now, although it will hold for a decade with proper cellaring. Lush and velvety, with a drop of Cabernet Franc, this is voluptuous in cherries, black currants and fine, toasty oak."
Lucienne 2015 Smith Vineyard Pinot Noir (Santa Lucia Highlands),Lucienne,Red,Smith Vineyard,Pinot Noir,"Santa Lucia Highlands, Central Coast, California, US",14.5%,$50,94,Matt Kettmann,"There are elegant aromas of potpourri, purple flowers, rose hips, fennel, wild mint, blackberries and plums on the nose of this top-end bottling from the Hahn family. Hearty black plum and elderberry mix with black sage and bay leaf on the palate, where a chalky texture and soft mouthfeel complete the experience."
